week,root_cause_prefix,n
2026-W11,il modello ha sovrastimato,7
2026-W11,monte carlo 71% derby,3
2026-W11,il modello ha dato,2
2026-W11,monte carlo 72% over,2
2026-W11,quota 1.87 per mg,2
2026-W12,monte carlo assegnava solo,7
2026-W12,monte carlo dava away_win_pct,3
2026-W12,monte carlo dava under_25_pct,3
2026-W12,pisa 17 partite senza,2
2026-W12,botafogo 2 sconfitte consecutive,1
2026-W13,monte carlo assegnava solo,10
2026-W13,monte carlo dava away_win_pct,3
2026-W13,monte carlo 44% casa,2
2026-W13,monte carlo assegnava 47%,1
2026-W13,monte carlo 91% home_win,1
2026-W14,monte carlo prevedeva 78%,2
2026-W14,monte carlo assegnava 46%,1
2026-W14,monte carlo dava 60%,1
2026-W14,monte carlo dava gg_pct,1
2026-W14,vicenza 3 vittorie consecutive,1
2026-W15,monte carlo under 2.5,4
2026-W15,confidence 40% con quota,2
2026-W15,monaco 7 vittorie consecutive,2
2026-W15,lione 5 partite senza,1
2026-W15,eintracht 1 sola vittoria,1
2026-W16,monte carlo under 2.5,2
2026-W16,monte carlo prevedeva 79%,2
2026-W16,heerenveen 9 over2.5 consecutive,1
2026-W16,monte carlo prevedeva 81%,1
2026-W16,monte carlo 83% casa,1
