created_at,match_date,home,away,league,tipo,pronostico,source,quota,probabilita_stimata,confidence,stake,profit_loss,actual_outcome,actual_result,severity,pattern_tags,root_cause,ai_analysis,suggested_adjustment,vi_form,vi_motivation,vi_home_advantage,vi_market_odds,vi_h2h,vi_fatigue,vi_streaks,vi_tactical_dna
2026-03-09 14:11:47.426,2026-03-08,Bologna,Verona,Serie A,SEGNO,1,C,1.53,68.0,68.0,1,-1,2,1:2,high,forma_fuorviante|quota_troppo_alta|upset,Bologna 3 vittorie consecutive ma Verona 12 trasferte senza vittoria nascondeva reazione,"Il modello ha dato 68% casa basandosi su 3 vittorie consecutive del Bologna, ignorando che il Verona nelle ultime 3 trasferte ha sempre segnato almeno un gol. La quota 6.00 per il 2 segnalava un'anomalia che il modello non ha intercettato.",Ridurre il peso di 'strisce' quando la squadra sfavorita ha quote > 5.00 — il mercato prezza un upset possibile.,0.4,0.0,0.0,0.3,0.0,0.0,0.3,0.0
2026-03-09 14:11:51.642,2026-03-08,Cavese,Picerno,Serie C - Girone C,DOPPIA_CHANCE,X2,C_screm,1.73,49.0,49.0,1,-1,1X o 12,2:0,medium,striscia_interrotta|modello_overconfident,Picerno imbattuta in 2 partite ma Cavese senza vittorie nascondeva reazione,"Il modello ha sovrastimato la probabilità di X2 (49%) basandosi sulla striscia negativa della Cavese (1 sconfitta) e sull'imbattibilità del Picerno (2 pareggi). La quota 3.9 per il 2 segnalava un'anomalia che il modello non ha intercettato. La simulazione Monte Carlo dava solo 49% di probabilità di X2, ma il modello ha ignorato il segnale di reazione della Cavese.",Ridurre il peso di 'strisce' quando la squadra sfavorita ha quote > 3.5 — il mercato prezza un upset possibile.,0.0,0.0,0.0,0.4,0.0,0.0,0.6,0.0
2026-03-09 14:11:55.466,2026-03-08,Fenerbahce,Samsunspor,Süper Lig,GOL,MG 2-3,C_mg,1.88,46.8,62.0,1,-1,"Over 2.5, GG, totale gol: 5",3:2,low,striscia_interrotta|quota_troppo_bassa,Fenerbahce imbattuto da 24 partite ma Samsunspor senza gol in 2 partite,"Il modello ha sovrastimato la striscia di imbattibilità del Fenerbahce (24 partite) ignorando che il Samsunspor non segnava da 2 partite. La quota 1.70 per l'Over 2.5 era troppo bassa rispetto al 69% Monte Carlo, segnalando un eccesso di fiducia nel modello.",Ridurre il peso di 'strisce' quando la squadra ospite ha una clean sheet recente e quote Over 2.5 < 1.70.,0.0,0.0,0.0,0.4,0.0,0.0,0.6,0.0
2026-03-09 14:11:59.030,2026-03-08,Forlì,Livorno,Serie C - Girone B,SEGNO,1,C,2.05,72.0,72.0,5,-5,X,1:1,high,striscia_interrotta|quota_troppo_alta,Monte Carlo 72% casa ma risultato 1-1 — Livorno senza vittoria in 2 partite ma Forlì senza vittorie in 1,"Il modello ha dato 72% di probabilità di vittoria del Forlì basandosi su segnali contrastanti: bvs a 73.85 e quote a 86.5. Tuttavia, il mercato dava solo 46.8% di probabilità di vittoria del Forlì, segnalando un'anomalia. La striscia di 1 sconfitta del Forlì e 2 sconfitte del Livorno ha ingannato il modello, che non ha considerato che entrambe le squadre erano in crisi.",Ridurre il peso di 'strisce' quando entrambe le squadre hanno strisce negative e le quote del mercato sono significativamente diverse.,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0
2026-03-09 14:12:02.269,2026-03-08,Fortuna Sittard,Telstar,Eredivisie,SEGNO,1,C,2.05,51.0,51.0,1,-1,2,1:4,high,upset|difesa_atipica,Telstar 1 vittoria ma 1 clean sheet e 0 gol subiti nascondeva potenziale offensivo,"Il modello ha dato 51% casa basandosi su 2 vittorie consecutive del Fortuna Sittard, ignorando che il Telstar nelle ultime 2 partite non aveva subito gol. La quota 3.40 per il 2 segnalava un'anomalia che il modello non ha intercettato. Il Telstar ha segnato 4 gol, contro una media di 0.59 prevista dal modello.",Aggiungere un peso maggiore a 'dna' quando la squadra sfavorita ha una clean sheet recente.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-09 14:12:06.234,2026-03-08,Genoa,Roma,Serie A,SEGNO,2,C,1.91,70.0,70.0,4,-4,1,2:1,high,striscia_interrotta|quota_troppo_bassa|upset,Roma imbattuta in 4 partite ma Genoa senza vittorie nascondeva reazione,"Il modello ha dato 70% per il 2 basandosi su 4 imbattibilità della Roma, ignorando che il Genoa nelle ultime 3 partite ha sempre segnato. La quota 4.20 per il 1 segnalava un'anomalia che il modello non ha intercettato. La simulazione Monte Carlo dava 70% per la vittoria della Roma, ma il Genoa ha vinto 2-1.",Ridurre il peso di 'strisce' quando la squadra sfavorita ha quote > 4.00 — il mercato prezza un upset possibile.,0.0,0.0,0.0,0.4,0.0,0.0,0.6,0.0
2026-03-09 14:12:09.721,2026-03-08,Getafe CF,Real Betis,La Liga,DOPPIA_CHANCE,X2,C_screm,1.36,46.0,46.0,1,-1,1X o 12,2:0,high,quota_troppo_bassa|striscia_interrotta|modello_underconfident,Monte Carlo dava 46% Real Betis ma ha vinto 2-0 — il modello ignorava la striscia di imbattibilità del Betis (5 partite),"Il modello ha dato 46% al Real Betis basandosi su una singola vittoria del Getafe, ignorando che il Betis era imbattuto da 5 partite. La quota 2.55 per il 2 segnalava un'anomalia che il modello non ha intercettato. La simulazione Monte Carlo dava 46% al Betis, ma il risultato è stato 2-0.",Aumentare il peso di 'strisce' quando la squadra sfavorita ha quote < 3.00 — il mercato prezza un upset possibile.,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0
2026-03-09 14:12:13.074,2026-03-08,Kansas City,San Diego,Major League Soccer,GOL,Over 2.5,C_dg35,1.5,77.0,77.0,1,-1,"Under 2.5, NG, totale gol: 1",0:1,high,quota_troppo_bassa|modello_overconfident|dati_insufficienti,Monte Carlo 90% Over 2.5 ma risultato 0-1 — attacco vs difesa sopravvalutato,"Il modello ha dato 77% Over 2.5 basandosi su att_vs_def 70.3, ignorando che le quote di mercato (1.5) e Monte Carlo (90%) erano incoerenti con la realtà. La quota 1.5 per Over 2.5 segnalava un'anomalia che il modello non ha intercettato. La previsione di 0-4 era irrealistica.",Ridurre il peso di 'att_vs_def' quando la quota Over 2.5 è < 1.6 — il mercato prezza un under possibile.,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.6
2026-03-09 14:12:16.261,2026-03-08,LAFC,Dallas,Major League Soccer,GOL,Goal,C,1.7,76.0,76.0,5,-5,"Under 2.5, NG, totale gol: 1",1:0,high,quota_troppo_alta|modello_overconfident,"Il modello ha dato 76% GOL basandosi su att_vs_def 66.2, ignorando che le quote under_2.5 erano 2.65","Il modello ha sovrastimato la probabilità di gol (76%) basandosi su att_vs_def 66.2, mentre le quote under_2.5 erano 2.65. La simulazione Monte Carlo dava 75% over_2.5, ma il risultato è stato 1-0. Il modello è stato overconfident.",Ridurre il peso di 'att_vs_def' quando le quote under_2.5 sono < 2.70 — il mercato prezza un under più probabile.,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.3
2026-03-09 14:12:20.605,2026-03-08,Lille,Lorient,Ligue 1,SEGNO,1,C,1.62,72.0,72.0,3,-3,X,1:1,high,forma_fuorviante|quota_troppo_bassa|modello_overconfident,Lille 4 imbattibilità ma Lorient 2 pareggi consecutivi nascondeva equilibrio,"Il modello ha dato 72% casa basandosi su 4 imbattibilità del Lille, ignorando che il Lorient nelle ultime 3 partite aveva 2 pareggi. La quota 3.75 per il X segnalava un'anomalia che il modello non ha intercettato. La simulazione Monte Carlo dava solo 22% di X, ma il mercato aveva ragione.",Ridurre il peso di 'strisce' quando la squadra ospite ha quote > 3.50 — il mercato prezza un pareggio possibile.,0.4,0.0,0.3,0.2,0.0,0.0,0.1,0.0
2026-03-17 05:12:29.555,2026-03-16,San Lorenzo,Defensa,Primera División,GOL,Under 2.5,A,1.35,58.9,68.6,1,-1,"Over 2.5, GG, totale gol: 7",2:5,high,quota_troppo_bassa|attacco_atipico|difesa_atipica|modello_overconfident,Monte Carlo dava under_25_pct 60% ma Defensa ha 9 imbattibilità e San Lorenzo 8 under25 consecutivi — entrambi segnalavano alta probabilità di gol,"Il modello ha ignorato che entrambe le squadre hanno strisce difensive atipiche (Defensa 9 imbattibilità, San Lorenzo 8 under25 consecutivi) e ha sovrastimato la direzione 'under' basandosi su media_gol 67% e att_vs_def 85%. La quota 1.35 per l'Under 2.5 era già un campanello d'allarme, ma il modello ha dato un edge negativo (-20.48) senza correggere per i pattern opposti.",Aumentare il peso di 'strisce' quando entrambe le squadre hanno strisce difensive atipiche (imbattibilità >7 o under25 >6 consecutivi) — il segnale 'media_gol' deve essere neutralizzato in questi casi.,0.0,0.0,0.0,0.4,0.0,0.0,0.3,0.3
